강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2022학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,공과대학,건축학과,석박사통합,0,401.668,001,건설경영공학론,,3,3,0,목(09:30~10:45)/목(11:00~12:15),이론/이론,39-427/39-427,안창범,2,20 (20),0,ⓔ,영어,설강
전선,공과대학,건설환경공학부,석박사통합,0,M1586.003200,001,건설환경 공학글쓰기와 발표 2,,3,3,0,수(14:00~16:50),이론,35-514,구수현,1,10 (10),0,타과생 수강불허,한국어,설강
전선,공과대학,건설환경공학부,학사,3학년,457.307,001,건설계획 및 관리,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,35-316/35-316,지석호,32,60 (60),0,,한국어,설강
전필,공과대학,건설환경공학부,학사,1학년,M1586.003400,001,건설환경 디지털 공학설계,,3,3,0,월(16:00~18:50),이론,35-223,임정현,6,60 (60),0,,한국어,설강
전선,공과대학,건축학과,석박사통합,0,401.773,001,건축공간분석학,,3,3,0,월(14:00~16:45),이론,39-438-2,최재필,2,20 (20),0,,한국어,설강
전필,공과대학,건설환경공학부,학사,1학년,M1586.003300,001,건설환경공학 입문,,1,1,0,화(13:00~13:50),이론,43-1-301,박용성,2,60 (60),0,타과생 수강불허,한국어,설강
전선,법학전문대학원,법학과,석박사통합,2학년,931.619,001,건설행정법,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,15-1-101/15-1-101,김종보,9,0,0,,한국어,설강
전필,공과대학,건축학과,학사,4학년,4013.315,001,건축공학시스템설계,,3,2,2,화(11:00~12:50)/화(08:00~08:50)/화(13:00~13:50),이론/실습/실습,39-427/39-427/39-427,강현구,12,40 (40),0,,한국어,설강
전선,공과대학,건축학과,석박사통합,0,401.629,001,건축구조설계특론 2,고층건축시스템,3,3,0,토(09:00~11:50),이론,39-427,Ahmad Abdelrazaq,3,20 (20),0,ⓔ,영어,설강
전필,공과대학,건축학과,학사,3학년,4012.304,001,건축과 사회,,3,3,0,수(09:00~11:50),이론,39-B116,최재필,5,40 (40),0,,한국어,설강
전필,공과대학,건축학과,학사,4학년,4012.422A,001,건축과 도시설계,,3,3,0,월(14:00~16:45),이론,39-508,박소현,4,40 (40),0,,한국어,설강
전선,공과대학,건축학과,석박사통합,0,M1498.002300,001,건축과 AI,,3,3,0,수(19:00~21:50),이론,39-427,강현구,7,40 (40),0,,한국어,설강
전필,공과대학,건축학과,학사,3학년,4012.301,002,건축설계스튜디오 3-1,,6,3,6,월(14:00~15:15)/월(15:30~16:45)/월(17:00~18:15)/목(14:00~15:15)/목(15:30~16:45)/목(17:00~18:15),이론/실습/실습/이론/실습/실습,39-601/39-601/39-601/39-601/39-601/39-601,Choon Woong Choi,3,10 (10),0,"건축학과 다전공 학생은 마지막날 수강신청 가능, 타과생 정원외신청",한국어,설강
전필,공과대학,건축학과,학사,3학년,4012.301,001,건축설계스튜디오 3-1,,6,3,6,월(14:00~15:15)/월(15:30~16:45)/월(17:00~18:15)/목(14:00~15:15)/목(15:30~16:45)/목(17:00~18:15),이론/실습/실습/이론/실습/실습,39-507/39-507/39-507/39-507/39-507/39-507,김현철,0,10 (10),0,"건축학과 다전공 학생은 마지막날 수강신청 가능, 타과생 정원외신청",한국어,설강
전필,공과대학,건축학과,학사,3학년,4012.301,003,건축설계스튜디오 3-1,,6,3,6,월(14:00~15:15)/월(15:30~16:45)/월(17:00~18:15)/목(14:00~15:15)/목(15:30~16:45)/목(17:00~18:15),이론/실습/실습/이론/실습/실습,39-602/39-602/39-602/39-602/39-602/39-602,,1,10 (10),0,"건축학과 다전공 학생은 마지막날 수강신청 가능, 타과생 정원외신청",한국어,설강
